Ssiderea046003	S
Ssiderea020302	T
Ssiderea000533	O
Ssiderea009384	U
Ssiderea003832	D
Ssiderea012601	O
Ssiderea006464	S
Ssiderea042233	C
Ssiderea004035	P
Ssiderea025975	T
Ssiderea005048	T
Ssiderea038129	W
Ssiderea028919	L
Ssiderea049996	S
Ssiderea032224	L
Ssiderea004852	T
Ssiderea052350	T
Ssiderea017376	S
Ssiderea027415	S
Ssiderea001962	S
Ssiderea054226	I
Ssiderea040978	P
Ssiderea007110	K
Ssiderea006100	S
Ssiderea054047	AJ
Ssiderea022909	O
Ssiderea037386	U
Ssiderea052647	G
Ssiderea050128	S
Ssiderea044804	S
Ssiderea028760	S
Ssiderea006630	O
Ssiderea042291	I
Ssiderea031466	K
Ssiderea026158	G
Ssiderea029924	T
Ssiderea045278	T
Ssiderea001036	O
Ssiderea61030	L
Ssiderea005883	S
Ssiderea005131	S
Ssiderea045860	Q
Ssiderea023346	I
Ssiderea028528	E
Ssiderea013598	TV
Ssiderea014717	K
Ssiderea60152	L
Ssiderea052915	Q
Ssiderea023654	T
Ssiderea055087	M
Ssiderea021583	S
Ssiderea015767	K
Ssiderea014867	S
Ssiderea018196	S
Ssiderea002764	T
Ssiderea022512	O
Ssiderea050555	T
Ssiderea001872	W
Ssiderea051082	Z
Ssiderea021335	C
Ssiderea025933	EG
Ssiderea022943	E
Ssiderea016268	S
Ssiderea036993	G
Ssiderea053759	C
Ssiderea007570	S
Ssiderea013946	T
Ssiderea052504	I
Ssiderea052355	I
Ssiderea012426	T
Ssiderea042640	T
Ssiderea014383	U
Ssiderea058219	T
Ssiderea61410	P
Ssiderea003810	E
Ssiderea022598	P
Ssiderea030135	U
Ssiderea034309	T
Ssiderea034973	B
Ssiderea037962	Z
Ssiderea022790	S
Ssiderea057810	G
Ssiderea053160	S
Ssiderea048362	O
Ssiderea023919	P
Ssiderea025050	T
Ssiderea005792	EPT
Ssiderea020101	S
Ssiderea005039	T
Ssiderea041994	S
Ssiderea046264	S
Ssiderea030430	S
Ssiderea005149	J
Ssiderea048371	O
Ssiderea001677	KOT
Ssiderea014932	S
Ssiderea042219	BD
Ssiderea032543	O
Ssiderea024915	U
Ssiderea007252	P
Ssiderea000772	P
Ssiderea047461	L
Ssiderea041478	G
Ssiderea032602	O
Ssiderea031834	H
Ssiderea006685	S
Ssiderea033394	T
Ssiderea010510	TV
