Siderastrea846961	A
Siderastrea429881	BT
Siderastrea424023	S
Siderastrea326096	G
Siderastrea452889	C
Siderastrea544507	C
Siderastrea435187	J
Siderastrea570586	S
Siderastrea455977	T
Siderastrea451499	T
Siderastrea413126	S
Siderastrea358976	O
Siderastrea436944	S
Siderastrea435427	S
Siderastrea373399	S
Siderastrea364540	S
Siderastrea446297	O
Siderastrea18110	C
Siderastrea449518	O
Siderastrea449870	A
Siderastrea431286	-
Siderastrea313836	T
Siderastrea451711	G
Siderastrea452932	O
Siderastrea742554	O
Siderastrea440722	O
Siderastrea453996	Z
Siderastrea423742	T
Siderastrea416524	T
Siderastrea85348	O
Siderastrea414944	D
Siderastrea296466	Z
Siderastrea117092	O
Siderastrea436663	S
Siderastrea81347	O
Siderastrea429120	O
Siderastrea443627	S
Siderastrea209881	T
Siderastrea385634	O
Siderastrea420402	G
Siderastrea418902	K
Siderastrea445489	C
Siderastrea422249	A
Siderastrea1890	EH
Siderastrea417604	O
Siderastrea327041	W
Siderastrea453784	L
Siderastrea904371	J
Siderastrea441803	DL
Siderastrea423556	S
Siderastrea449543	S
Siderastrea452161	O
Siderastrea456635	KLT
Siderastrea413100	S
Siderastrea440097	S
Siderastrea423518	I
Siderastrea434151	S
Siderastrea430057	V
Siderastrea176273	J
Siderastrea716789	J
Siderastrea428657	G
Siderastrea582154	C
Siderastrea215426	O
Siderastrea13937	O
Siderastrea423723	E
Siderastrea446090	-
Siderastrea422372	K
Siderastrea411343	M
Siderastrea256520	L
Siderastrea853272	P
Siderastrea255853	IQ
Siderastrea432724	J
Siderastrea395995	P
Siderastrea442416	A
Siderastrea255975	O
Siderastrea451093	S
Siderastrea434735	S
Siderastrea431526	S
Siderastrea100632	Z
Siderastrea12590	T
Siderastrea424126	T
Siderastrea23583	O
Siderastrea427625	S
Siderastrea455012	TZ
Siderastrea434132	S
Siderastrea200360	S
Siderastrea260111	C
Siderastrea448945	O
Siderastrea57624	U
Siderastrea413842	Q
Siderastrea444179	O
Siderastrea438762	S
Siderastrea865	O
Siderastrea329860	IQ
Siderastrea449512	Z
Siderastrea411282	S
Siderastrea429106	S
Siderastrea91472	O
Siderastrea455509	Z
Siderastrea390369	C
Siderastrea419207	U
Siderastrea456198	O
Siderastrea437033	O
Siderastrea379167	S
Siderastrea425806	O
Siderastrea451274	Q
Siderastrea454867	-
Siderastrea401494	S
Siderastrea443054	S
Siderastrea450754	T
Siderastrea455956	U
Siderastrea314922	Q
Siderastrea450848	Q
Siderastrea454580	P
Siderastrea428139	S
Siderastrea440398	UY
Siderastrea445525	K
Siderastrea453092	O
Siderastrea426469	A
Siderastrea235365	J
Siderastrea260152	O
Siderastrea438599	K
Siderastrea405638	B
Siderastrea186588	Z
Siderastrea839716	C
Siderastrea77326	E
Siderastrea278425	L
Siderastrea436124	J
Siderastrea432331	S
Siderastrea414681	T
Siderastrea523382	Z
Siderastrea323665	O
Siderastrea446628	P
Siderastrea102572	T
Siderastrea429754	E
Siderastrea414270	O
Siderastrea329438	OP
Siderastrea388942	S
Siderastrea448665	C
Siderastrea337529	U
Siderastrea367392	T
Siderastrea769226	Q
Siderastrea103881	J
Siderastrea341033	-
Siderastrea450406	Z
Siderastrea715274	J
Siderastrea456561	E
Siderastrea440240	B
Siderastrea442294	O
Siderastrea443853	Z
Siderastrea419018	T
Siderastrea182067	O
Siderastrea450254	Q
Siderastrea452570	L
Siderastrea451180	S
Siderastrea424278	T
Siderastrea430108	O
Siderastrea410295	S
Siderastrea405656	T
Siderastrea439796	S
Siderastrea689969	B
Siderastrea145090	U
Siderastrea419989	Q
Siderastrea260964	G
Siderastrea440854	P
Siderastrea372277	E
Siderastrea436812	O
Siderastrea454356	DZ
Siderastrea396140	E
Siderastrea445449	P
Siderastrea381973	K
Siderastrea333342	T
Siderastrea432171	O
Siderastrea714119	E
Siderastrea417200	S
Siderastrea452532	K
Siderastrea447143	A
Siderastrea429300	S
Siderastrea452699	L
Siderastrea209516	O
Siderastrea452544	Q
Siderastrea814452	O
Siderastrea444808	O
Siderastrea415293	A
Siderastrea456105	S
Siderastrea449392	BD
Siderastrea448515	T
Siderastrea439654	S
Siderastrea220721	O
Siderastrea225377	S
Siderastrea790984	U
Siderastrea420245	T
Siderastrea379705	C
Siderastrea381885	Z
Siderastrea445187	S
Siderastrea418700	J
Siderastrea446215	L
Siderastrea426113	D
Siderastrea418631	TV
Siderastrea325597	S
Siderastrea448118	Z
Siderastrea451012	P
Siderastrea420773	J
Siderastrea319320	S
Siderastrea289483	KLT
Siderastrea568421	C
Siderastrea5691	J
Siderastrea420470	S
Siderastrea445021	S
