Ssiderea000001-T1	Ssiderea000001
Ssiderea000001-T2	Ssiderea000001
Ssiderea000002-T1	Ssiderea000002
Ssiderea000003-T1	Ssiderea000003
Ssiderea000004-T1	Ssiderea000004
Ssiderea000005-T1	Ssiderea000005
Ssiderea000006-T1	Ssiderea000006
Ssiderea000007-T1	Ssiderea000007
Ssiderea000008-T1	Ssiderea000008
Ssiderea000009-T1	Ssiderea000009
Ssiderea000010-T1	Ssiderea000010
Ssiderea000011-T1	Ssiderea000011
Ssiderea000012-T1	Ssiderea000012
Ssiderea000013-T1	Ssiderea000013
Ssiderea000014-T1	Ssiderea000014
Ssiderea000015-T1	Ssiderea000015
Ssiderea000016-T1	Ssiderea000016
Ssiderea000017-T1	Ssiderea000017
Ssiderea000017-T2	Ssiderea000017
Ssiderea000018-T1	Ssiderea000018
Ssiderea000019-T1	Ssiderea000019
Ssiderea000020-T1	Ssiderea000020
Ssiderea000021-T1	Ssiderea000021
Ssiderea000022-T1	Ssiderea000022
Ssiderea000023-T1	Ssiderea000023
Ssiderea000024-T1	Ssiderea000024
Ssiderea000025-T1	Ssiderea000025
Ssiderea000026-T1	Ssiderea000026
Ssiderea000027-T1	Ssiderea000027
Ssiderea000028-T1	Ssiderea000028
Ssiderea000029-T1	Ssiderea000029
Ssiderea000030-T1	Ssiderea000030
Ssiderea000031-T1	Ssiderea000031
Ssiderea000032-T1	Ssiderea000032
Ssiderea000033-T1	Ssiderea000033
Ssiderea000034-T1	Ssiderea000034
Ssiderea000035-T1	Ssiderea000035
Ssiderea000036-T1	Ssiderea000036
Ssiderea000037-T1	Ssiderea000037
Ssiderea000038-T1	Ssiderea000038
Ssiderea000039-T1	Ssiderea000039
Ssiderea000040-T1	Ssiderea000040
Ssiderea000041-T1	Ssiderea000041
Ssiderea000042-T1	Ssiderea000042
Ssiderea000043-T1	Ssiderea000043
Ssiderea000044-T1	Ssiderea000044
Ssiderea000044-T2	Ssiderea000044
Ssiderea000044-T3	Ssiderea000044
Ssiderea000046-T1	Ssiderea000046
Ssiderea000047-T1	Ssiderea000047
Ssiderea000048-T1	Ssiderea000048
Ssiderea000049-T1	Ssiderea000049
Ssiderea000050-T1	Ssiderea000050
Ssiderea000051-T1	Ssiderea000051
Ssiderea000052-T1	Ssiderea000052
Ssiderea000053-T1	Ssiderea000053
Ssiderea000053-T2	Ssiderea000053
Ssiderea000054-T1	Ssiderea000054
Ssiderea000055-T1	Ssiderea000055
Ssiderea000056-T1	Ssiderea000056
Ssiderea000057-T1	Ssiderea000057
Ssiderea000058-T1	Ssiderea000058
Ssiderea000059-T1	Ssiderea000059
Ssiderea000060-T1	Ssiderea000060
Ssiderea000061-T1	Ssiderea000061
Ssiderea000062-T1	Ssiderea000062
Ssiderea000063-T1	Ssiderea000063
Ssiderea000064-T1	Ssiderea000064
Ssiderea000065-T1	Ssiderea000065
Ssiderea000066-T1	Ssiderea000066
Ssiderea000067-T1	Ssiderea000067
Ssiderea000068-T1	Ssiderea000068
Ssiderea000069-T1	Ssiderea000069
Ssiderea000070-T1	Ssiderea000070
Ssiderea000071-T1	Ssiderea000071
Ssiderea000072-T1	Ssiderea000072
Ssiderea000073-T1	Ssiderea000073
Ssiderea000074-T1	Ssiderea000074
Ssiderea000075-T1	Ssiderea000075
Ssiderea000076-T1	Ssiderea000076
Ssiderea000077-T1	Ssiderea000077
Ssiderea000078-T1	Ssiderea000078
Ssiderea000079-T1	Ssiderea000079
Ssiderea000080-T1	Ssiderea000080
Ssiderea000081-T1	Ssiderea000081
Ssiderea000082-T1	Ssiderea000082
Ssiderea000083-T1	Ssiderea000083
Ssiderea000084-T1	Ssiderea000084
Ssiderea000085-T1	Ssiderea000085
Ssiderea000086-T1	Ssiderea000086
Ssiderea000087-T1	Ssiderea000087
Ssiderea000088-T1	Ssiderea000088
Ssiderea000089-T1	Ssiderea000089
Ssiderea000090-T1	Ssiderea000090
Ssiderea000091-T1	Ssiderea000091
Ssiderea000092-T1	Ssiderea000092
